code_nacre,description,emission,emission_factor
ID21,NE PLUS UTILISER - UTILISER IB.66,,0.9
ID31,"CONSEIL, AUDIT EN CYBER SECURITE",,0.55
ID32,SERVICES DE SECURISATION DES INFRASTRUCTURES ET PROTECTION NUMERIQUE,,0.45
ID33,SERVICES D'INVESTIGATIONS NUMERIQUES,,0.35
ID41,PRESTATIONS D'ADMINISTRATION ET EXPLOITATION DE SERVICES RESEAUX,,0.9
ID42,SERVICES D'INFOGERANCE D'INFRASTRUCTURES INFORMATIQUES ET DU SYSTÈME d'EXPLOITATION,,1.0
ID43,INFORMATIQUE : INFOGERANCE APPLICATIVE,,0.7
ID44,INFORMATIQUE : INFOGERANCE POSTE UTILISATEUR,,0.25
ID45,INFORMATIQUE : AUTRES SERVICES D'INFOGERANCE,,0.25
ID51,TIERCE MAINTENANCE APPLICATIVE DES APPLICATIONS DE GESTION FINANCIERE,,2.5
ID52,TIERCE MAINTENANCE APPLICATIVE DES APPLICATIONS DE GESTION RH,,0.6
ID53,TIERCE MAINTENANCE APPLICATIVE DES APPLICATIONS DECISIONNELLES,,0.3
ID54,TIERCE MAINTENANCE APPLICATIVE DES AUTRES APPLICATIONS DE GESTION,,0.25
ID55,TIERCE MAINTENANCE APPLICATIVE DES APPLICATIONS SCIENTIFIQUES,,0.35
ID56,TIERCE MAINTENANCE APPLICATIVE DES AUTRES APPLICATIONS,,0.3
ID57,TIERCE RECETTE APPLICATIVE,,0.25
ID61,DEVELOPPEMENT DE SOLUTIONS LOGICIELLES DE GESTION,,0.12
ID62,DEVELOPPEMENT DE SOLUTIONS LOGICIELLES  SCIENTIFIQUES,,0.08
ID63,DEVELOPPEMENT D'AUTRES  SOLUTIONS LOGICIELLES,,0.1
ID71,"SERVICES D'INTEGRATION APPLICATIVE, PARAMETRAGE ET SERVICES ASSOCIES",,0.1
ID72,LOCATION DE DATA CENTER,,0.12
ID73,"SERVICES D'HEBERGEMENT INFORMATIQUE (IaaS, PaaS, en nuage,...)",,0.09
ID74,SERVICES DE STOCKAGE ET DE VIRTUALISATION,,0.11
ID75,"PRESTATIONS D'INSTALLATION PARAMETRAGE, ETIQUETAGE D'EQUIPEMENTS INFORMATIQUES",,0.07
ID76,AUTRES SERVICES INFORMAQUES,,0.25
IE01,APPAREILS DE PRODUCTION AUDIOVISUELLE,0.83,0.35
IE02,EQUIPEMENTS DE VISIOCONFERENCE,0.63,0.25
IE11,PIECES DETACHEES POUR L'AUDIOVISUEL,0.55,0.4
IE12,CONSOMMABLES POUR L'AUDIOVISUEL (HORS CONSOMMABLES INFORMATIQUES),0.72,0.35
IE21,"APPAREILS DE RECEPTION, ENREGISTREMENT OU REPRODUCTION DU SON",0.83,0.9
IE22,"CONSOMMABLES POUR APPAREILS DE RECEP., ENREG. OU REPRO. DU SON",0.72,1.1
IE23,"APPAREILS PROFESSIONNELS DE RECEPT., ENREG. OU REPROD. DU SON (BROADCAST)",0.83,1.5
IE31,APPAREILS DE RECEPTION ENREGISTREMENT REPRODUCTION IMAGE,0.83,0.55
IE32,VIDEOPROJECTEURS,0.63,0.45
IE33,TABLEAUX BLANCS INTERACTIFS,0.63,0.35
IE34,"CONSOMMABLES POUR APPAREILS DE RECEPT., ENREG. OU REPROD. DE L'IMAGE",0.72,0.25
IE35,"APPAREILS PROFESSIONNELS DE RECEP., ENREG. OU REPROD. DE L'IMAGE (BROADCAST)",0.83,1.8
IE36,MATERIEL PHOTOGRAPHIQUE,0.49,0.6
IE37,PREPARATIONS ET PRODUITS DE LABORATOIRE POUR LA PHOTOGRAPHIE,0.75,0.7
IE41,MATERIEL CINEMATOGRAPHIQUE,0.83,0.9
IE42,"PLAQUES, PELLICULES, FILMS ET SURFACES SENSIBLES POUR LE CINEMA",1.0,1.0
IE43,PREPARATIONS ET PRODUITS DE LABORATOIRE POUR LE CINEMA,1.2,0.7
IF01,MAINTENANCE ET REPAR. D'APPAREILS DE PRODUCTION AUDIOVISUELLE,0.21,0.35
IF02,"MAINTENANCE ET REPAR. DES APPAREILS DE RECEPT., ENREG. OU REPROD. DU SON",0.21,0.25
IF03,"MAINTENANCE ET REPAR. DES APPAREILS PROFES. DE RECEP., ENREG. OU REPROD. DU SON",0.21,0.4
IF04,MAINTENANCE ET REPAR. DES APPAREILS DE RECEPT. ENREG. OU REPROD. DE L'IMAGE,0.21,0.25
IF05,"MAINTENANCE ET REPAR. DES APPAR. PROFES. DE RECEP., ENREG. OU REPROD. DE L'IMAGE",0.21,2.5
IF06,MAINTENANCE ET REPAR. DU MATERIEL PHOTOGRAPHIQUE,0.21,3.0
IF07,MAINTENANCE ET REPAR. DU MATERIEL CINEMATOGRAPHIQUE,0.21,1.8
IF11,PRESTATIONS D'INSTALLATION DES EQUIPEMENTS D'AUDIOVISUEL,,0.4
IG01,TELECOMMUNICATIONS : TERMINAUX DE TELEPHONIE FIXE,0.44,0.35
IG02,TELECOMMUNICATIONS : TERMINAUX DE TELEPHONIE MOBILE,0.39,0.25
IG03,"TELECOMMUNICATIONS : AUTRES TERMINAUX : TELECOPIEURS, TELEIMPRIMEURS",0.26,0.4
IG04,TELECOMMUNICATIONS : AUTOCOMMUTATEURS ET AUTRES EQUIPEMENTS,0.26,0.25
IG05,TELECOMMUNICATION : TERMINAUX PTI (PROTECTION TRAVAILLEURS ISOLES),,2.5
IH01,MAINTENANCE ET REPARATION DES EQUIPEMENTS DE TELEPHONIE,0.21,0.35
IH02,MAINTENANCE ET REPARATION DES POSTES TELEPHONIQUES D'USAGERS ET AUTRES TERMINAUX,0.21,0.25
IH03,MAINTENANCE ET REPARATION DES AUTRES EQUIPEMENTS DE TELECOMUNICATIONS,0.21,0.4
II01,"TELECOM : CONSOMMATIONS, ABONNEMENTS, RACCORDEMENTS TELEPHONIE FILAIRE",0.16,0.35
II02,"TELECOM : CONSOMMATIONS, ABONNEMENTS TELEPHONIE MOBILE (VOIX ET DATA)",0.16,0.25
II03,"TELECOM : LIAISONS SPECIALISEES (FIBRES OPTIQUES, NOIRES, LIAISONS LOUEES...)",0.16,0.4
II04,"TELECOMMUNICATIONS : CONSOMMATIONS, ABONNEMENTS LIAISONS IRIDIUM",0.16,0.25
II05,TELECOMMUNICATIONS : PRESTATIONS DE REPRISE ET REINTEGRATION DES DONNEES,0.16,2.5
II06,"TELECOMMUNICATIONS : ABONNEMENTS, APPLICATIFS PTI",,3.0
II11,TELECOMMUNICATIONS : INSTALLATION ET MONTAGE DE MATERIEL DE TELEPHONIE,0.16,0.4
II12,TELECOMMUNICATIONS : MISE EN PLACE DE PLATE-FORMES TELEPHONIQUES,0.16,0.35
II13,TELECOMMUNICATIONS : SERVICES DE CONSEIL / AMO EN TELECOMMUNICATION,0.16,0.6
JA01,"ARMOIRES SIMPLES, RANGEMENTS, CHARIOTS DE LABORATOIRE",0.35,0.35
JA02,PAILLASSES ET CHAISES DE LABORATOIRE,0.35,0.25
JA03,MOBILIER ET CLOISONS DE SALLE BLANCHE,0.35,0.4
JA11,"TRAITEMENT DE L'AIR : EQUIPEMENTS DE PURIFICATION DE L'AIR (SALLE BLANCHE,…)",0.52,0.4
JA12,TRAITEMENT DE L'AIR : CONSOMMABLES ET PIECES DETACHEES DEDIES AUX EQUIPEMENTS,0.46,0.35
JA13,TRAITEMENT DE L'EAU : MATERIEL DE PURIFICATION D'EAU ET ACCESSOIRES,0.34,0.6
JA14,TRAITEMENT DE L'EAU : CONSOMMABLES ET PIECES DETACHEES,0.44,0.55
JB01,"TRAITEMENT DE L'AIR : REPARATION ET MAINTENANCE EQUIPEMENTS (SALLE BLANCHE,…)",0.24,0.35
JB11,"TRAITEMENT DE L'EAU : REPARATION ET MAINTENANCE DES EQUIPEMENTS (OSMOSEURS,…)",0.24,0.4
KA01,RATS ET LIGNEES ENTRETENUES DE RATS,0.99,0.35
KA02,SOURIS ET LIGNEES ENTRETENUES DE SOURIS,0.99,0.25
KA03,COBAYES ET LIGNEES ENTRETENUES DE COBAYES,0.99,0.4
KA04,LAPINS ET LIGNEES ENTRETENUES DE LAPINS,0.99,0.25
KA05,"AUTRES RONGEURS ET PETITS MAMMIFERES (CHIENS, CHATS,…)",0.99,2.5
KA11,PRIMATES ET LIGNEES ENTRETENUES DE PRIMATES,0.99,0.4
KA12,BOVINS ET LIGNEES ENTRETENUES DE BOVINS,1.7,0.35
KA13,"OVINS, CAPRINS ET LIGNEES ENTRETENUES D'OVINS ET CAPRINS",1.7,0.6
KA14,PORCINS ET LIGNEES ENTRETENUES DE PORCINS,0.99,0.55
KA15,AUTRES GROS MAMMIFERES (EQUIDES…),0.99,0.5
KA21,VOLAILLES ET LIGNEES ENTRETENUES DE VOLAILLES,0.96,0.9
KA22,ŒUFS D'OISEAUX,0.96,1.1
KA23,AUTRES OISEAUX QUE VOLAILLES,0.96,1.5
KA31,AMPHIBIENS ET LIGNEES ENTRETENUES D'AMPHIBIENS,0.99,0.55
KA32,POISSONS ET LIGNEES ENTRETENUES DE POISSONS,0.99,0.45
KA33,"INSECTES, ARACHNIDES ET LIGNEES ENTRETENUES D'INSECTES ET ARACHNIDES",0.99,0.35
KA34,"AUTRES ANIMAUX (CRUSTACES, MOLLUSQUES, REPTILES…)",0.99,0.25
KA41,"ANIMAUX SANS FINALITE EXPERIMENTALE (CHEVAUX D'EQUITATION,…)",2.5,0.9
KB01,ALIMENTS NON COMPOSES POUR RONGEURS ET PETITS MAMMIFERES,1.3,0.35
KB02,ALIMENTS COMPOSES POUR RONGEURS ET PETITS MAMMIFERES,0.85,0.25
KB03,COMPLEMENTS VITAMINIQUES ET OLIGO-ELEMENTS POUR RONGEURS ET PETITS MAMMIFERES,0.68,0.4
KB11,"ALIMENTS ORIG. ANIMALE COMPOS., CONDITION. OU TRANSF. PR GROS MAMMIF. ET OISEAUX",0.85,0.4
KB12,"ALIMENTS VEGETAUX COMPOSES, CONDITIONNES OU TRANSF. PR GROS MAMMIF. ET OISEAUX",0.85,0.35
KB13,COMPLEMENTS ALIMENTAIRES POUR GROS MAMMIFERES ET OISEAUX,0.85,0.6
KB21,ALIMENTS POUR PRIMATES FRUITS ET LEGUMES POUR L'ALIMENTATION DES ANIMAUX,1.3,0.9
KB22,"ALIMENTS RECOLTES POUR GROS MAMMIFERES ET OISEAUX (GRAIN, FOURRAGE,...)",1.3,1.1
KB23,VIANDES ET POISSONS POUR L'ALIMENTATION DES ANIMAUX,1.3,1.5
KB24,PETITS ANIMAUX VIVANTS POUR L'ALIMENTATION DES ANIMAUX,1.3,2.2
KB31,"ALIMENTS POUR AUTRES ANIMAUX (POISSONS, BATRACIENS, ETC.)",0.85,0.55
KB41,MATIERES PREMIERES POUR LA FABRICATION D'ALIMENTS POUR ANIMAUX,1.3,0.9
KC01,EQUIPEMENTS ET CONSOMMABLES D'IDENTIFICATION DES ANIMAUX (MARQUAGE),0.31,0.35
KC11,EQUIPEMENTS DE CONTENTION (CAGES...) ET ACCESSOIRES D'ANIMALERIE,0.51,0.4
KC12,EQUIPEMENTS DE CONTENTION DES GROS MAMMIFERES,0.51,0.35
KC13,"EQUIPEMENTS DE CONTENTION DES POISSONS, REPTILES ET BATRACIENS",0.65,0.6
KC21,LITIERE,0.48,0.9
KC22,MATERIEL DE LAVAGE ET DESINFECTION DES ANIMALERIES ET MILIEUX D'ELEVAGE,0.85,1.1
KC23,CONSOMMABLES D'HYGIENE ET DE SOIN DES ANIMAUX,0.43,1.5
KC24,CONSOMMABLES ET PRODUITS VETERINAIRES,0.36,2.2
KC25,MATERIELS POUR L'ENTRETIEN ET LE SOIN DES ANIMAUX,0.48,0.8
KC31,MATERIEL DE PREPARATION ET DE DISTRIBUTION D'ALIMENTS POUR ANIMAUX,0.39,0.55
KC32,MATERIEL POUR LA CONSERVATION D'ALIMENTS POUR ANIMAUX,0.39,0.45
KC41,VETEMENTS ET EQUIPEMENTS POUR L'EQUITATION,0.68,0.9
KC42,"MATERIELS ET CONSOMMABLES DE TRAITE, ABATTAGE, CRIBLAGE…",0.42,1.0
KC51,MATERIELS ET CONSOMMABLES POUR L'ETUDE DU COMPORTEMENT ANIMAL,0.35,2.5
KD01,SUBSTANCES ACTIVES MEDICAMENTEUSES VETERINAIRES NATURELLES,0.41,0.35
KD02,SUBSTANCES ACTIVES MEDICAMENTEUSES VETERINAIRES SYNTHETIQUES,0.41,0.25
KD03,EXCIPIENTS VETERINAIRES D'ORIGINE NATURELLE,0.41,0.4
KD04,EXCIPIENTS VETERINAIRES D'ORIGINE SYNTHETIQUE,0.41,0.25
KD05,MEDICAMENTS ET PREPARATIONS MEDICAMENTEUSES A DESTINATION ANIMALE,0.41,2.5
KD11,VACCINS POUR EXPERIMENTATION ANIMALE,0.41,0.4
KD12,ADDITIFS POUR VACCINS POUR EXPERIMENTATION ANIMALE,0.41,0.35
KD21,CONSOMMABLES ET PRODUITS DE SOINS POUR EXPERIMENTATION ANIMALE,0.45,0.9
KE01,EQUIPEMENTS D'IMAGERIE ANIMALE,0.31,0.35
KE02,CONSOMMABLES D'IMAGERIE ANIMALE,0.52,0.25
KE11,MATERIELS D'ANESTHESIE,0.32,0.4
KE12,MATERIELS CHIRUGICAUX ET DE TECHNIQUES OPERATOIRES ANIMALES,0.35,0.35
KE13,CONSOMMABLES D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES ANIMALES,0.4,0.6
KE21,"MATERIELS CARDIOVASCULAIRES, RENAUX ET RESPIRATOIRES",0.29,0.9
KE22,CONSOMMABLES POUR EQUIPEMENTS D'EXPERIMENTATION ANIMALE,0.4,1.1
KE23,AUTRES EQUIPEMENTS D'INVESTIGATION ANIMALE,0.29,1.5
KE31,AUTRES EQUIPEMENTS ET CONSOMMABLES D'EXPERIMENTATION ANIMALE,0.36,0.55
KE41,EQUIPEMENTS ET CONSOMMABLES POUR L'EXPLOITATION ANIMALE,0.34,0.9
KE51,MATERIELS ET CONSOMMABLES POUR L'ETUDE DU COMPORTEMENT ANIMAL,0.34,2.5
KF01,MAINTENANCE REPAR. MATERIEL DE DESINFECT. ET LAVAGE DES ANIMALERIES,0.21,0.35
KF02,MAINTENANCE ET REPARATION DES AUTRES EQUIPEMENTS D'ELEVAGE ANIMAL,0.21,0.25
KF03,MAINTENANCE ET REPARATION DES MATERIELS POUR L'ETUDE DES ANIMAUX,0.21,0.4
KF11,MAINTENANCE ET REPARATION DES MATERIELS D'IMAGERIE ANIMALE,0.21,0.4
KF12,MAINTENANCE ET REPARATION DES MATERIELS D'ANESTHESIE ET DE TECHNIQ. OPERATOIRES,0.21,0.35
KF13,MAINTENANCE ET REPARATION DES MATERIELS D'INVESTIGATION ANIMALE,0.21,0.6
KF14,MAINTENANCE ET REPARATION DES AUTRES MATERIELS D'EXPERIMENTATION ANIMALE,0.21,0.55
KG01,SERVICES D'EXTERNALISATION DE LA GESTION D'UNE ANIMALERIE,0.18,0.35
KG02,CONTROLES SANITAIRES ET ANALYSES VETERINAIRES,0.16,0.25
KG03,SERVICES RELATIFS A LA REPRODUCTION DES ANIMAUX,0.16,0.4
KG04,AUTRES SERVICES VETERINAIRES,0.16,0.25
KG05,AUTRES SERVICES RELATIFS A L'ELEVAGE DES ANIMAUX,0.18,2.5
KG06,SERVICES RELATIFS A LA CRYOCONSERVATION,0.18,3.0
KG11,SERVICES D'IMAGERIE ANIMALE,0.18,0.4
KG12,AUTRES SERVICES D'EXPERIMENTATION ANIMALE,0.18,0.35
LA01,SUBSTANCES ACTIVES MEDICAMENTEUSES NATURELLES,0.41,0.35
LA02,SUBSTANCES ACTIVES MEDICAMENTEUSES SYNTHETIQUES,0.41,0.25
LA03,EXCIPIENTS D'ORIGINE NATURELLE,0.41,0.4
LA04,EXCIPIENTS D'ORIGINE SYNTHETIQUE,0.41,0.25
LA05,MEDICAMENTS ET PREPARATIONS MEDICAMENTEUSES,0.41,2.5
LA11,VACCINS,0.41,0.4
LA12,ADDITIFS POUR VACCINS,0.41,0.35
LA21,PRODUITS ET DERIVES SANGUINS HUMAINS,,0.9
LA22,CELLULES ET TISSUS HUMAINS,,1.1
LA23,AUTRES PRODUITS D'ORIGINE HUMAINE,,1.5
LB01,"EQUIPEMENTS DE CABINETS MEDICAUX, Y COMPRIS POUR MEDECINE DU TRAVAIL",0.3,0.35
LB02,"PETIT MATERIEL POUR CABINETS MEDICAUX, Y COMPRIS POUR MEDECINE DU TRAVAIL",0.35,0.25
LB03,PRODUITS ET CONSOMMABLES DE SOINS MEDICAUX,0.39,0.4
LB11,"EQUIPEMENTS D'IMAGERIE MEDICALE (IRM, SCANNER,...)",0.29,0.4
LB12,CONSOMMABLES POUR LES EQUIPEMENTS D'IMAGERIE MEDICALE,0.53,0.35
LB21,EQUIPEMENTS D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES,0.39,0.9
LB22,CONSOMMABLES D'ANESTHESIE ET DE TECHNIQUES OPERATOIRES,0.39,1.1
LB31,"MATERIEL D'INVESTIGATION CARDIOVASCUL., RENALE ET RESPIRAT.",0.29,0.55
LB32,AUTRES EQUIPEMENTS D'INVESTIGATION CLINIQUE,0.3,0.45
LB33,CONSOMMABLES ET REACTIFS D'INVESTIGATION CLINIQUE,0.39,0.35
LB41,AUTOMATES D'ANALYSES MEDICALES,0.24,0.9
LB42,CONSOMMABLES POUR AUTOMATES D'ANALYSES MEDICALES,0.54,1.0
LB51,PETITS MATERIELS POUR ODONTOLOGIE,0.4,2.5
LB52,PRODUITS ET CONSOMMABLES  POUR ODONTOLOGIE,0.51,0.6
LB53,EQUIPEMENTS D'IMAGERIE  POUR ODONTOLOGIE,0.34,0.3
LB54,CONSOMMABLES D'IMAGERIE POUR ODONTOLOGIE,0.51,0.25
LB55,PRODUITS ET CONSOMMABLES DE PROTHESES,,0.35
LB56,PRDT ET CONS ODONTOLOGIE CONSERVATRICE ET ENDODONTIE (OCE),,0.3
LB57,EQUIPEMENTS D'OTONTOLOGIE,,0.25
LB58,MATERIELS POUR REPARATION DES EQUIPEMENT ODONTOLOGIE,,0.15
LB61,"FOURNITURES OPTIQUES (VERRES, LUNETTES,…)",0.41,0.12
LB62,MATERIELS D'OPHTALMOLOGIE,0.37,0.08
LB71,AUTOMATES D'ANALYSES ET DE MESURES D'AUDIOMETRIE,,0.1
LB72,ACCESSOIRES ET CONSOMMABLES POUR MATEIRELS D'AUDIOMETRIE,,0.12
LC01,"MAINTENANCE ET REPARATION DES EQUIPEMENTS D'IMAGERIE MEDICALE (IRM,…)",0.21,0.35
LC02,MAINTENANCE ET REPARATION DU MATERIEL D'ANESTHESIE ET DE TECH. OPERATOIRES,0.21,0.25
LC03,MAINTENANCE ET REPARATION DES EQUIPEMENTS D'INVESTIGATION CLINIQUE,0.21,0.4
LC04,MAINTENANCE ET REPARATION DES EQUIPEMENTS DE BIOCHIMIE CLINIQUE,0.21,0.25
LC05,MAINTENANCE ET REPARATION DES EQUIPEMENTS D'ODONTOLOGIE,0.21,2.5
LC06,MAINTENANCE ET REPARATION DES MATERIELS D'OPHTALMOLOGIE,0.21,3.0
LC07,MAINTENANCE ET REPARATION DES EQUPEMENTS D'AUDIOMETRIE,,1.8
LD01,SERVICES DE CONDUITE D'ESSAIS CLINIQUES (PHASES I A IV),0.17,0.35
LD02,"SERV. DE COND. D'ETUDES ET D'ENQUÊTES D'EPIDEMIO., SANTE PUBL. ET SOCIOL MEDIC.",0.17,0.25
LD03,"SERV. DE COND. D'ETUDES A CARACTERE MEDICAL, HORS ESSAIS CLINIQUES ET ENQUÊTES",0.17,0.4
LD11,SERVICES D'IRM,0.15,0.4
LD12,AUTRES SERVICES D'IMAGERIE MEDICALE,0.15,0.35
LD21,SERVICES D'ANALYSES SANGUINES,0.15,0.9
LD22,AUTRES SERVICES D'ANALYSE MEDICALE,0.15,1.1
LD31,ACTES ET AUTRES FRAIS MEDICAUX HOSPITALIERS DANS LE CADRE D'ESSAIS CLINIQUES,0.11,0.55
LD32,SERVICES DE BIOBANQUES,0.11,0.45
LD33,AUTRES SERVICES MEDICAUX,0.11,0.35
LD34,PRESTATIONS DE CREMATION,,0.25
LD35,PRESTATIONS FUNERAIRES,,1.8
MA01,MATERIEL DE PREPARATION D'ECHANTILLONS POUR MICROSCOPIE,0.49,0.35
MA02,CONSOMMABLES POUR LA PREPARATION D'ECHANTILLONS (HORS LAMES),0.86,0.25
MA11,"MICROSCOPES A CHAMP PROCHE (AFM, SPM, SNOM, ELECTROCHIMIQUES…)",0.27,0.4
MA12,PROFILOMETRES A CONTACT,0.27,0.35
MA13,POINTES ET AUTRES CONSOMMABLES POUR MICROSCOPES A CHAMP PROCHE,0.27,0.6
MA14,MICROSCOPIE A CHAMP PROCHE : AUTRE MATERIEL ET PIECES DETACHEES,0.31,0.55
MA15,MICROSCOPIE A CHAMP PROCHE : ELECTRONIQUE DE REMPLACEMENT,0.39,0.5
MA21,MICROSCOPES ELECTRONIQUES ET IONIQUES,0.27,0.9
MA22,MICROSCOPIE ELECTRONIQUE ET IONIQUE : DETECTEURS SPECIFIQUES,0.27,1.1
MA23,MICROSCOPIE ELECTRONIQUE ET IONIQUE : CAMERAS,0.27,1.5
MA24,MICROSCOPIE ELECTRONIQUE ET IONIQUE : AUTRE MATERIEL ET PIECES DETAC. HORS N1,0.31,2.2
MA25,MICROSCOPIE ELECTRONIQUE ET IONIQUE : ELECTRONIQUE DE REMPLACEMENT,0.39,0.8
MA31,SYSTÈMES DE MICROSCOPIE ACOUSTIQUE,0.27,0.55
MA32,"MICROSCOPIE ACOUSTIQUE : ACCESSOIRES, CONSOMMABLES ET PIECES DETACHEES",0.31,0.45
MA33,MICROSCOPIE ACOUSTIQUE : ELECTRONIQUE DE REMPLACEMENT,0.39,0.35
MA41,MICROSCOPIE A ANGLE DE BREWSTER : EQUIPEMENTS ET ACCESSOIRES,0.27,0.9
MA42,PROFILOMETRES OPTIQUES,0.27,1.0
MA43,MICROSCOPIE PHOTONIQUE ET DE FLUORESCENCE : LOUPES ET STEREOMICROSCOPES,0.27,0.7
MA44,MICROSCOPES PHOTONIQUES ET DE FLUORESCENCE,0.27,0.25
MA45,LAMPES POUR MICROSCOPES PHOTONIQUES ET DE FLUORESCENCE,0.27,0.25
MA46,MICROSCOPIE OPTIQUE : AUTRE MATERIEL ET PIECES DETACHEES HORS O0,0.27,0.2
MA47,"AUTRES MICROSCOPES OPTIQUES (MAGNETO-OPTIQUES, A EMISSION DE LUMIERE…)",0.27,0.18
MA48,MICROSCOPIE OPTIQUE : ELECTRONIQUE DE REMPLACEMENT,0.39,0.25
MB01,MATERIEL DE PREP. D'ECHANTILLONS PR MICROSCOPIE : REPARATION ET MAINTENANCE,0.21,0.35
MB02,MICROSCOPIE A CHAMP PROCHE ET PROFILOMETRIE : REPARATION ET MAINTENANCE,0.21,0.25
MB03,MICROSCOPIE ELECTRONIQUE ET IONIQUE : REPARATION ET MAINTENANCE,0.21,0.4
MB04,MICROSCOPIE ACOUSTIQUE : REPARATION ET MAINTENANCE DU MATERIEL,0.21,0.25
MB05,MICROSCOPIE OPTIQUE : REPARATION ET MAINTENANCE,0.21,2.5
MC01,MICROSCOPIE A CHAMP PROCHE ET PROFILOMETRIE A CONTACT : SERVICES D'ANALYSE,0.2,0.35
MC02,MICROSCOPIE ELECTRONIQUE ET IONIQUE : SERVICES D'ANALYSE,0.2,0.25
MC03,MICROSCOPIE ACOUSTIQUE : SERVICES D'ANALYSE,0.2,0.4
MC04,MICROSCOPIE PHOTONIQUE ET PROFILOMETRIE OPTIQUE : SERVICES D'ANALYSE,0.2,0.25
NA01,SOLVANTS : ACETATE D'ETHYLE ET AUTRES ESTERS,1.6,0.35
NA02,SOLVANTS : ACETONE,1.6,0.25
NA03,SOLVANTS : ACETONITRILE,1.6,0.4
NA04,"SOLVANTS : SOLVANTS CHLORES (DICHLOROMETHANE, CHLOROFORME,…)",1.6,0.25
NA05,"SOLVANTS : EAU ET ALCOOLS (METHANOL, ETHANOL, PROPAN-2-OL,…)",1.6,2.5
NA06,"SOLVANTS : HYDROCARBURES (PENTANE, HEXANE, HEPTANE,…)",1.6,3.0
NA07,"SOLVANTS : AUTRES SOLVANTS (ETHERS,…)",1.6,1.8
NA08,SOLVANTS : SOLVANTS INDUSTRIELS (FUTS ET TONNELETS),1.6,1.2
NA11,"SOLVANTS ISOTOPIQUES (DEUTERIES,…)",1.6,0.4
NA12,PRODUITS LIQUIDES ET SOLIDES ISOTOPIQUES NON RADIOACTIFS (HORS SOLVANTS),1.6,0.35
NA13,CHIMIE ET BIOLOGIE : PRODUITS RADIOACTIFS,1.6,0.6
NA21,"PRODUITS CHIMIQUES COURANTS (ACIDES, BASES, SELS...)",1.3,0.9
NA22,PRODUITS CHIMIQUES POUR LA SYNTHESE ORGANIQUE,1.6,1.1
NA23,METAUX PURS ET REACTIFS POUR LA SCIENCE DES MATERIAUX,1.3,1.5
NA24,"ETALONS DE CALIBRATION, STANDARDS ET PRODUITS DE REFERENCE",0.38,2.2
NA25,"PRODUITS BIOCHIMIQUES COURANTS (TAMPONS, BSA, etc.)",0.45,0.8
NA26,BIOLOGIE : PEPTIDES ET ACIDES AMINES,0.32,0.6
NA27,BIOLOGIE : PROTEINES RECOMBINANTES (A FACON),0.32,0.7
NA28,BIOLOGIE : PRODUITS CHIMIQUES A USAGE BIOCHIMIQUE OU BIOLOGIQUE,0.32,0.65
NA31,REACTIFS ET KITS POUR LE MARQUAGE ET LA DETECTION DES ACIDES NUCLEIQUES,0.31,0.55
NA32,REACTIFS ET KITS POUR LE MARQUAGE ET LA DETECTION DES PROTEINES,0.31,0.45
NA41,ANTICORPS PRIMAIRES NON COUPLES (HORS ANTICORPS CONTROLES ET ANTI-TAG),0.25,0.9
NA42,ANTICORPS PRIMAIRES NON COUPLES CONTROLES,0.25,1.0
NA43,ANTICORPS PRIMAIRES NON COUPLES ANTI-TAG,0.25,0.7
NA44,ANTICORPS PRIMAIRES COUPLES MARQUEURS DE CELLULES,0.25,0.25
NA45,AUTRES ANTICORPS PRIMAIRES COUPLES,0.25,0.25
NA46,ANTICORPS SECONDAIRES,0.25,0.2
NA47,REACTIFS D'IMMUNOHISTOLOGIE ET D'HISTOCHIMIE,0.38,0.18
NA51,OLIGONUCLEOTIDES DE SYNTHESE ET ACIDES NUCLEIQUES,0.32,2.5
NA52,KITS ET REACTIFS POUR L'ISOLEMENT ET LA PURIFICATION DES ACIDES NUCLEIQUES,0.38,0.6
NA53,ENZYMES DE RESTRICTION,0.25,0.3
NA54,"ENZYMES DE MODIFICATION ET DE CLONAGE (Nucléases, Kinases, Phosphatases)",0.25,0.25
NA55,ENZYMES ET KITS DE SYNTHESE DES ACIDES NUCLEIQUES (PCR…),0.25,0.35
NA56,KITS ET REACTIFS POUR L'ISOLEMENT ET LA PURIFICATION DES PROTEINES,0.37,0.3
NA61,"AUTRES PRODUITS D'ORIGINE BIOLOGIQUE  ANIMAL (SANG,…)",0.25,0.12
NA62,BIOPUCES (MICROARRAYS),0.31,0.08
NA71,SERUMS ET AUTRES MILIEUX POUR CULTURE DE CELLULES ANIMALES,0.38,0.1
NA72,MILIEUX POUR CULTURE DE CELLULES VEGETALES,0.42,0.12
NA73,MILIEUX POUR CULTURE DE PETITS ORGANISMES VIVANTS,0.31,0.09
NA74,MILIEUX DE BACTERIOLOGIE ET ADDITIFS,0.29,0.11
NA75,AUTRES MILIEUX DE CULTURE ET ADDITIFS,0.38,0.07
NA76,ANTIBIOTIQUES POUR CULTURE CELLULAIRE,0.41,0.25
NA77,"CYTOKINES, FACTEURS DE CROISSANCE ET INHIBITEURS",0.33,0.2
NA78,ENZYMES POUR CULTURE CELLULAIRE,0.25,0.08
NA79,AUTRES PRODUITS POUR CULTURE CELLULAIRE,0.37,0.25
